short10,1,0001,3,566.0,93.0,756.0,685.0
short10,1,0001,1,690.0,87.0,824.0,683.0
short10,1,0001,2,506.0,35.0,664.0,679.0
short10,1,0002,3,566.0,93.0,762.0,683.0
short10,1,0002,1,689.0,93.0,824.0,684.0
short10,1,0002,2,381.0,300.0,533.0,458.0
short10,1,0003,3,569.0,97.0,758.0,683.0
short10,1,0003,1,681.0,94.0,822.0,685.0
short10,1,0003,2,208.0,300.0,385.0,459.0
short10,1,0004,3,574.0,99.0,753.0,685.0
short10,1,0004,1,676.0,94.0,819.0,685.0
short10,1,0004,2,204.0,301.0,384.0,461.0
short10,1,0005,3,576.0,97.0,751.0,685.0
short10,1,0005,1,672.0,92.0,815.0,679.0
short10,1,0005,2,201.0,300.0,380.0,462.0
short10,1,0006,3,566.0,93.0,753.0,686.0
short10,1,0006,1,675.0,88.0,819.0,684.0
short10,1,0006,2,199.0,300.0,376.0,463.0
short10,2,0004,3,574.0,99.0,753.0,685.0
short10,2,0004,1,676.0,94.0,819.0,685.0
short10,2,0004,2,204.0,301.0,384.0,461.0
short10,2,0005,3,576.0,97.0,751.0,685.0
short10,2,0005,1,672.0,92.0,815.0,679.0
short10,2,0005,2,201.0,300.0,380.0,462.0
short10,2,0006,3,566.0,93.0,753.0,686.0
short10,2,0006,1,675.0,88.0,819.0,684.0
short10,2,0006,2,199.0,300.0,376.0,463.0
short10,2,0007,3,550.0,96.0,748.0,688.0
short10,2,0007,1,679.0,129.0,818.0,684.0
short10,2,0007,2,197.0,297.0,374.0,461.0
short10,2,0008,3,543.0,96.0,742.0,687.0
short10,2,0008,1,672.0,107.0,808.0,690.0
short10,2,0008,2,196.0,298.0,373.0,459.0
short10,2,0009,3,535.0,98.0,737.0,690.0
short10,2,0009,1,668.0,117.0,803.0,685.0
short10,2,0009,2,195.0,300.0,371.0,460.0
short10,3,0007,4,550.0,96.0,748.0,688.0
short10,3,0007,3,679.0,129.0,818.0,684.0
short10,3,0007,1,197.0,297.0,374.0,461.0
short10,3,0008,4,543.0,96.0,742.0,687.0
short10,3,0008,3,672.0,107.0,808.0,690.0
